ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-560,Base,560,3167,120.75,No,28.5,0,No,0,220.3,-182,226.4,-175.9,226.4,-182,135.8,-97.5,124.2,-86,135.8,-97.5
Base-566,Base,566,1653,120.75,No,36.5,0,No,0,131.8,-62.2,143.5,-50.5,143.5,-62.2,91,-21.5,85.6,-16,91,-21.5
Base-569,Base,569,984,159.4167,No,14,0,No,0,132.8,-52.9,146.7,-39,146.7,-52.9,93.8,-13.9,89.5,-9.6,93.8,-13.9
Base-589,Base,589,1670,120.75,No,56.5,0,No,0,57.1,16.2,68.6,27.6,68.6,16.2,48.5,24.8,47.4,25.9,48.5,24.8
Base-590,Base,590,1669,120.75,No,53,0,No,0,118.5,-72.2,125.8,-64.9,125.8,-72.2,78.5,-32.1,73.1,-26.7,78.5,-32.1
Base-591,Base,591,1671,120.75,No,58.8333,0,No,0,155.4,-81.4,166.9,-69.9,166.9,-81.4,105.7,-31.6,98.8,-24.8,105.7,-31.6
Base-593,Base,593,1672,120.75,No,64.8333,0,No,0,109.1,-35.7,120.5,-24.3,120.5,-35.7,78.7,-5.3,74.7,-1.3,78.7,-5.3
Base-594,Base,594,985,167.0833,No,14,0,No,0,85.3,28.7,105.1,48.5,105.1,28.7,73.4,40.6,72.1,41.9,73.4,40.6
Base-601,Base,601,1675,120.75,No,67.8333,0,No,0,113.6,-39.3,125.1,-27.8,125.1,-39.3,81.4,-7.2,77.2,-3,81.4,-7.2
Base-609,Base,609,986,120.75,No,73.8333,0,No,0,110.4,-37.6,121.7,-26.3,121.7,-37.6,79.4,-6.5,75.3,-2.5,79.4,-6.5
Base-614,Base,614,987,120.75,No,76.8333,0,No,0,144.4,-77.2,154.8,-66.9,154.8,-77.2,97.8,-30.7,91.7,-24.6,97.8,-30.7
Base-619,Base,619,988,120.75,No,82.8333,0,No,0,52.4,-20.2,57.3,-15.4,57.3,-20.2,37.2,-5,35.2,-3,37.2,-5
Base-624,Base,624,989,120.75,No,83.8333,0,No,0,52.9,-21.4,57.6,-16.7,57.6,-21.4,37.3,-5.8,35.7,-4.2,37.3,-5.8
Base-629,Base,629,990,120.75,No,89.8333,0,No,0,162.1,-110.7,169.7,-103.1,169.7,-110.7,104.8,-53.4,98.3,-47,104.8,-53.4
Base-634,Base,634,991,120.75,No,91.5,0,No,0,272.4,-188.9,284.9,-176.4,284.9,-188.9,175.5,-92,164.6,-81.2,175.5,-92
Base-641,Base,641,992,175.5833,No,14,0,No,0,67.1,30,83.7,46.6,83.7,30,59.3,37.8,58.3,38.8,59.3,37.8
Base-812,Base,812,1827,120.75,No,40.5,0,No,0,79.1,18.8,94.4,34.1,94.4,18.8,66.5,31.5,65.1,32.9,66.5,31.5
Base-813,Base,813,1828,120.75,No,47.5,0,No,0,122.8,-39,135.8,-26,135.8,-39,88.8,-5,84.4,-0.5,88.8,-5
Base-814,Base,814,1288,120.75,No,50,0,No,0,149.6,-136.3,152.4,-133.5,152.4,-136.3,89.5,-76.3,81.3,-68.1,89.5,-76.3
Base-848,Base,848,993,183.5,No,14,0,No,0,99.4,-21.7,112.2,-8.9,112.2,-21.7,73.9,3.7,70.6,7.1,73.9,3.7
Base-853,Base,853,994,192.75,No,14,0,No,0,209.5,-135.6,221.5,-123.6,221.5,-135.6,137,-63.1,127.5,-53.6,137,-63.1
Base-858,Base,858,995,188.125,No,14,0,No,0,131.4,-63.6,142.4,-52.6,142.4,-63.6,90.4,-22.7,85,-17.3,90.4,-22.7
Base-862,Base,862,1284,127.3333,No,14,0,No,0,53.6,-36.4,55.6,-34.4,55.6,-36.4,34.7,-17.5,32.6,-15.5,34.7,-17.5
Base-867,Base,867,1286,136.3333,No,14,0,No,0,109.2,-61.5,117.5,-53.2,117.5,-61.5,73.4,-25.6,69.4,-21.6,73.4,-25.6
Base-872,Base,872,996,152.5,No,14,0,No,0,114.2,-94.5,117.4,-91.4,117.4,-94.5,70.4,-50.7,65.5,-45.8,70.4,-50.7
Base-883,Base,883,998,133.25,No,91.5,0,No,0,168.1,-119.5,175.3,-112.3,175.3,-119.5,107.7,-59.1,99.6,-51,107.7,-59.1
Base-984,Base,984,999,127,No,91.5,0,No,0,98.5,-25.6,109.3,-14.9,109.3,-25.6,72.4,0.4,68.7,4.2,72.4,0.4
Base-1043,Base,1043,1000,143.8333,No,100.3333,0,No,0,146,-20.4,164.9,-1.6,164.9,-20.4,111.1,14.5,106.9,18.7,111.1,14.5
Base-1046,Base,1046,1001,53.9167,No,91.5,0,No,0,86.5,-61.9,89.9,-58.6,89.9,-61.9,55.3,-30.8,51.3,-26.7,55.3,-30.8
